Date,Exchange_Rate
2024-07-08,0.207
2024-07-09,0.2071
2024-07-10,0.2077
2024-07-11,0.2086
2024-07-12,0.2082
2024-07-13,0.2084
2024-07-14,0.2084
2024-07-15,0.2085
2024-07-16,0.2092
2024-07-17,0.2096
2024-07-18,0.209
2024-07-19,0.2076
2024-07-20,0.2075
2024-07-21,0.2075
2024-07-22,0.2077
2024-07-23,0.2087
2024-07-24,0.2094
2024-07-25,0.2073
2024-07-26,0.2093
2024-07-27,0.2095
2024-07-28,0.2095
2024-07-29,0.209
2024-07-30,0.2091
2024-07-31,0.2104
2024-08-01,0.2114
2024-08-02,0.2104
2024-08-03,0.2108
2024-08-04,0.2108
2024-08-05,0.2091
2024-08-06,0.209
2024-08-07,0.2092
2024-08-08,0.2112
2024-08-09,0.2109
2024-08-10,0.2111
2024-08-11,0.2111
2024-08-12,0.211
2024-08-13,0.2119
2024-08-14,0.2116
2024-08-15,0.2122
2024-08-16,0.2121
2024-08-17,0.2147
2024-08-18,0.2147
2024-08-19,0.215
2024-08-20,0.2161
2024-08-21,0.2158
2024-08-22,0.2147
2024-08-23,0.2173
2024-08-24,0.2176
2024-08-25,0.2176
2024-08-26,0.2174
2024-08-27,0.2174
2024-08-28,0.2168
2024-08-29,0.2171
2024-08-30,0.216
2024-08-31,0.2163
2024-09-01,0.2163
2024-09-02,0.216
2024-09-03,0.2155
2024-09-04,0.2166
2024-09-05,0.2187
2024-09-06,0.2187
2024-09-07,0.2115
2024-09-08,0.2115
2024-09-09,0.2108
2024-09-10,0.2122
2024-09-11,0.2117
2024-09-12,0.2133
2024-09-13,0.2144
2024-09-14,0.2144
2024-09-15,0.2144
2024-09-16,0.2143
2024-09-17,0.2135
2024-09-18,0.2138
2024-09-19,0.2138
2024-09-20,0.2149
2024-09-21,0.2152
2024-09-22,0.2152
2024-09-23,0.2152
2024-09-24,0.2161
2024-09-25,0.2158
2024-09-26,0.2171
2024-09-27,0.2178
2024-09-28,0.2178
2024-09-29,0.2173
2024-09-30,0.2179
2024-10-01,0.2169
2024-10-02,0.2146
2024-10-03,0.2134
2024-10-04,0.214
2024-10-05,0.214
2024-10-06,0.214
2024-10-07,0.214
2024-10-08,0.2114
2024-10-09,0.2124
2024-10-10,0.2124
2024-10-11,0.2141
2024-10-12,0.2141
2024-10-13,0.2141
2024-10-14,0.2138
2024-10-15,0.2148
2024-10-16,0.215
2024-10-17,0.2156
2024-10-18,0.2152
2024-10-19,0.2154
2024-10-20,0.2154
2024-10-21,0.2134
2024-10-22,0.2134
2024-10-23,0.2117
2024-10-24,0.212
2024-10-25,0.2122
2024-10-26,0.2125
2024-10-27,0.2125
2024-10-28,0.2116
2024-10-29,0.2122
2024-10-30,0.2117
2024-10-31,0.2111
2024-11-01,0.2107
2024-11-02,0.2108
2024-11-03,0.2108
2024-11-04,0.2116
2024-11-05,0.2121
2024-11-06,0.2098
2024-11-07,0.2112
2024-11-08,0.2109
2024-11-09,0.211
2024-11-10,0.211
2024-11-11,0.2094
2024-11-12,0.2085
2024-11-13,0.2086
2024-11-14,0.2086
2024-11-15,0.2086
2024-11-16,0.2086
2024-11-17,0.2086
2024-11-18,0.2095
2024-11-19,0.2106
2024-11-20,0.2101
2024-11-21,0.2096
2024-11-22,0.2107
2024-11-23,0.2112
2024-11-24,0.2112
2024-11-25,0.2097
2024-11-26,0.2097
2024-11-27,0.2109
2024-11-28,0.2114
2024-11-29,0.2122
2024-11-30,0.2122
2024-12-01,0.2122
2024-12-02,0.2118
2024-12-03,0.2129
2024-12-04,0.213
2024-12-05,0.2137
2024-12-06,0.2146
2024-12-07,0.2144
2024-12-08,0.2144
2024-12-09,0.2161
2024-12-10,0.215
2024-12-11,0.2153
2024-12-12,0.215
2024-12-13,0.2141
2024-12-14,0.2141
2024-12-15,0.2141
2024-12-16,0.2147
2024-12-17,0.2139
2024-12-18,0.2135
2024-12-19,0.2118
2024-12-20,0.2137
2024-12-21,0.2145
2024-12-22,0.2145
2024-12-23,0.2136
2024-12-24,0.2146
2024-12-25,0.2143
2024-12-26,0.2146
2024-12-27,0.2154
2024-12-28,0.2151
2024-12-29,0.2151
2024-12-30,0.2139
2024-12-31,0.214
2025-01-01,0.2137
2025-01-02,0.2136
2025-01-03,0.2128
2025-01-04,0.2136
2025-01-05,0.2136
2025-01-06,0.2125
2025-01-07,0.2134
2025-01-08,0.2126
2025-01-09,0.2128
2025-01-10,0.2123
2025-01-11,0.2125
2025-01-12,0.2123
2025-01-13,0.2126
2025-01-14,0.2121
2025-01-15,0.2128
2025-01-16,0.2131
2025-01-17,0.2141
2025-01-18,0.2133
2025-01-19,0.2133
2025-01-20,0.2138
2025-01-21,0.215
2025-01-22,0.2156
2025-01-23,0.2151
2025-01-24,0.2168
2025-01-25,0.2166
2025-01-26,0.2166
2025-01-27,0.2157
2025-01-28,0.2152
2025-01-29,0.2163
2025-01-30,0.2173
2025-01-31,0.2183
2025-02-01,0.2167
2025-02-02,0.2167
2025-02-03,0.2166
2025-02-04,0.2173
2025-02-05,0.2179
2025-02-06,0.2166
2025-02-07,0.217
2025-02-08,0.2162
2025-02-09,0.2162
2025-02-10,0.2167
2025-02-11,0.2151
2025-02-12,0.215
2025-02-13,0.2172
2025-02-14,0.2163
2025-02-15,0.2162
2025-02-16,0.2162
2025-02-17,0.2165
2025-02-18,0.2173
2025-02-19,0.2167
2025-02-20,0.2168
2025-02-21,0.2168
2025-02-22,0.2171
2025-02-23,0.2171
2025-02-24,0.2171
2025-02-25,0.2154
2025-02-26,0.216
2025-02-27,0.2148
2025-02-28,0.2135
2025-03-01,0.2133
2025-03-02,0.2133
2025-03-03,0.2152
2025-03-04,0.2163
2025-03-05,0.216
2025-03-06,0.2158
2025-03-07,0.2159
2025-03-08,0.2158
2025-03-09,0.2158
2025-03-10,0.2152
2025-03-11,0.215
2025-03-12,0.2151
2025-03-13,0.2158
2025-03-14,0.2162
2025-03-15,0.2161
2025-03-16,0.2161
2025-03-17,0.216
2025-03-18,0.216
2025-03-19,0.2156
2025-03-20,0.2155
2025-03-21,0.2146
2025-03-22,0.2148
2025-03-23,0.2148
2025-03-24,0.2145
2025-03-25,0.2154
2025-03-26,0.2146
2025-03-27,0.2156
2025-03-28,0.215
2025-03-29,0.2154
2025-03-30,0.2152
2025-03-31,0.2144
2025-04-01,0.2142
2025-04-02,0.214
2025-04-03,0.2145
2025-04-04,0.2122
2025-04-05,0.2123
2025-04-06,0.2123
2025-04-07,0.2115
2025-04-08,0.2116
2025-04-09,0.2148
2025-04-10,0.2167
2025-04-11,0.2185
2025-04-12,0.2187
2025-04-13,0.2187
2025-04-14,0.2182
2025-04-15,0.2188
2025-04-16,0.2215
2025-04-17,0.2194
2025-04-18,0.2193
2025-04-19,0.2195
2025-04-20,0.2195
2025-04-21,0.2213
2025-04-22,0.2203
2025-04-23,0.2181
2025-04-24,0.2189
2025-04-25,0.2184
2025-04-26,0.2182
2025-04-27,0.218
2025-04-28,0.219
2025-04-29,0.2179
2025-04-30,0.2188
2025-05-01,0.217
2025-05-02,0.2204
2025-05-03,0.2207
2025-05-04,0.2207
2025-05-05,0.2217
2025-05-06,0.2216
2025-05-07,0.2216
2025-05-08,0.2206
2025-05-09,0.2207
2025-05-10,0.2206
2025-05-11,0.2206
2025-05-12,0.2161
2025-05-13,0.2175
2025-05-14,0.2165
2025-05-15,0.2179
2025-05-16,0.2167
2025-05-17,0.2173
2025-05-18,0.2173
2025-05-19,0.2188
2025-05-20,0.2202
2025-05-21,0.2214
2025-05-22,0.2199
2025-05-23,0.222
2025-05-24,0.2219
2025-05-25,0.2219
2025-05-26,0.2212
2025-05-27,0.2202
2025-05-28,0.2209
2025-05-29,0.2214
2025-05-30,0.22
2025-05-31,0.2199
2025-06-01,0.2199
2025-06-02,0.2225
2025-06-03,0.2212
2025-06-04,0.2213
2025-06-05,0.2204
2025-06-06,0.2207
2025-06-07,0.2208
2025-06-08,0.2208
2025-06-09,0.2207
2025-06-10,0.2212
2025-06-11,0.2217
2025-06-12,0.2225
2025-06-13,0.2227
2025-06-14,0.2229
2025-06-15,0.2229
2025-06-16,0.2225
2025-06-17,0.2215
2025-06-18,0.2215
2025-06-19,0.2201
2025-06-20,0.2201
2025-06-21,0.2203
2025-06-22,0.2203
2025-06-23,0.2197
2025-06-24,0.2205
2025-06-25,0.2208
2025-06-26,0.2214
2025-06-27,0.2209
2025-06-28,0.2208
2025-06-29,0.2208
2025-06-30,0.2213
2025-07-01,0.2215
2025-07-02,0.2222
2025-07-03,0.2219
2025-07-04,0.2221
2025-07-05,0.2224
2025-07-06,0.2224
2025-07-07,0.2213
